name,ticker,rank,year,industry,sector,headquarters_state,headquarters_city,marketcap,revenue_mil,profit_mil,asset_mil,employees,description
Walmart,WMT,1,2023,General Merchandisers,Retailing,AR,Bentonville,525902,611289,11680,243197,2100000,"Walmart Inc. is an American multinational retail corporation that operates a chain of hypermarkets, discount department stores, and grocery stores. The company was founded by Sam Walton in 1962 and incorporated on October 31, 1969. Walmart is one of the largest retail corporations in the world and is known for its wide range of products, including electronics, clothing, groceries, and household items. It also operates online e-commerce platforms, offering a variety of goods for sale. With a presence in multiple countries, Walmart is a prominent player in the global retail industry."
Amazon,AMZN,2,2023,Internet Services and Retailing,Retailing,WA,Seattle,1905764,513983,2722,462675,1541000,"Amazon.com, Inc. is an American multinational technology company that focuses on e-commerce, digital streaming, cloud computing, artificial intelligence, and more. It is one of the Big Five companies in the U.S. information technology industry, alongside Google, Apple, Microsoft, and Facebook. Amazon is known for its e-commerce platform, Amazon.com, as well as its Amazon Prime subscription service, Amazon Web Services (AWS), and a variety of other ventures. The company was founded by Jeff Bezos in 1994 and has grown to become one of the largest and most influential technology companies in the world."
Exxon Mobil,XOM,3,2023,Petroleum Refining,Energy,TX,Irving,518035,413680,55740,369067,62000,"Exxon Mobil Corporation is an American multinational corporation known for its involvement in the oil and gas industry. It is a publicly traded company that was formed in 1999 through the merger of Exxon and Mobil. Exxon Mobil is one of the largest publicly traded companies in the world and is involved in all aspects of the oil and gas industry, including exploration, production, refining, and distribution. The company is also active in the petrochemical industry and has operations in numerous countries around the world. Exxon Mobil is known for its technological innovations and has a long history of involvement in the energy sector."
Apple,AAPL,4,2023,"Computers, Office Equipment",Technology,CA,Cupertino,2927276,394328,99803,352755,164000,"Apple Inc. is an American multinational technology company that designs, develops, and sells consumer electronics, computer software, and online services. The company's hardware products include the iPhone smartphone, iPad tablet computer, Mac personal computer, Apple Watch smartwatch, and Apple TV digital media player. Apple's software includes the macOS and iOS operating systems, the iTunes media player, the Safari web browser, and the iLife and iWork creativity and productivity suites. Apple was founded in 1976 by Steve Jobs, Steve Wozniak, and Ronald Wayne."
UnitedHealth Group,UNH,5,2023,Health Care: Insurance and Managed Care,Health Care,MN,Minnetonka,479843,324162,20120,245705,400000,"UnitedHealth Group Incorporated is an American for-profit managed health care company that offers a wide range of health insurance products and services. It is the largest healthcare company in the world by revenue, providing health care coverage for individuals and employers. The company's services include health insurance, pharmaceutical benefit management, healthcare technology, and data analytics. UnitedHealth Group operates through two main platforms: UnitedHealthcare for health benefits and Optum for health services. The company is known for its innovation in the healthcare industry and its efforts to improve healthcare outcomes and affordability."
CVS Health,CVS,6,2023,Health Care: Pharmacy and Other Services,Health Care,RI,Woonsocket,72109,322467,4149,228275,259500,"CVS Health Corporation is an American healthcare company that owns pharmacies, health clinics, and a pharmacy benefit manager. The company was founded in 1963, originally as Consumer Value Stores, and has since grown to become one of the largest pharmacy chains in the United States. CVS Health operates over 9,900 retail locations across the country and provides a wide range of healthcare services, including prescription fulfillment, over-the-counter medications, health clinics, and pharmacy benefits management services for insurance companies and employers. In addition to its retail pharmacies, CVS Health also owns the health insurer Aetna, which it acquired in 2018 to further expand its presence in the healthcare industry."
Berkshire Hathaway,BRKA,7,2023,Insurance: Property and Casualty (Stock),Financials,NE,Omaha,894998,302089,22819,948452,383000,"Berkshire Hathaway Inc. is an American multinational conglomerate holding company headquartered in the United States. The company was founded by renowned investor Warren Buffett and his business partner Charlie Munger. Berkshire Hathaway owns a diverse range of businesses in various sectors, including insurance, utilities, energy, manufacturing, and retail. The company is known for its long-term investment strategy and has a significant ownership stake in several well-known companies."
Alphabet,GOOGL,8,2023,Internet Services and Retailing,Technology,CA,Mountain View,2189118,282836,59972,365264,190234,"Alphabet Inc. is an American multinational conglomerate company created through a corporate restructuring of Google on October 2, 2015. It is the parent company of Google and several other businesses previously owned by or tied to Google. These businesses include Waymo (self-driving cars), Verily (life sciences), and X Development (moonshot projects), among others. Alphabet Inc. is known for its diverse range of products and services, with Google being the most well-known and widely used."
McKesson,MCK,9,2023,Wholesalers: Health Care,Health Care,TX,Irving,72451,263966,1114,63298,66500,"McKesson Corporation is an American company providing pharmaceutical distribution services, medical supplies, and healthcare information technology. It is one of the largest healthcare companies in the world, serving as an intermediary between manufacturers and healthcare providers. McKesson also offers services such as pharmacy automation, clinical support, and business analytics to improve the efficiency and delivery of healthcare services."
Chevron,CVX,10,2023,Petroleum Refining,Energy,CA,San Ramon,290396,246252,35465,257709,43846,"Chevron Corporation is an American multinational energy corporation engaged in every aspect of the oil, natural gas, and geothermal energy industries, including exploration and production; refining, marketing, and transport; chemicals manufacturing and sales; and power generation. Chevron is one of the world's largest oil companies and has operations in more than 180 countries. The company traces its roots back to the founding of the Pacific Coast Oil Co. in 1879. Chevron has a strong presence in the United States as well as in international markets."
